Komoditas (Rp),Tanggal,Harga,Wilayah
Bawang Merah,2021-02-23,28750.0,Bukittinggi
Bawang Merah,2021-02-24,28750.0,Bukittinggi
Bawang Merah,2021-02-25,28750.0,Bukittinggi
Bawang Merah,2021-02-26,28750.0,Bukittinggi
Bawang Merah,2021-03-01,28750.0,Bukittinggi
Bawang Merah,2021-03-02,28750.0,Bukittinggi
Bawang Merah,2021-03-03,29500.0,Bukittinggi
Bawang Merah,2021-03-04,29500.0,Bukittinggi
Bawang Merah,2021-03-05,29500.0,Bukittinggi
Bawang Merah,2021-03-08,29500.0,Bukittinggi
Bawang Merah,2021-03-09,29500.0,Bukittinggi
Bawang Merah,2021-03-10,29500.0,Bukittinggi
Bawang Merah,2021-03-11,,Bukittinggi
Bawang Merah,2021-03-12,29500.0,Bukittinggi
Bawang Merah,2021-03-15,28000.0,Bukittinggi
Bawang Merah,2021-03-16,30000.0,Bukittinggi
Bawang Merah,2021-03-17,30000.0,Bukittinggi
Bawang Merah,2021-03-18,30000.0,Bukittinggi
Bawang Merah,2021-03-19,31500.0,Bukittinggi
Bawang Merah,2021-03-22,31000.0,Bukittinggi
Bawang Merah,2021-03-23,31000.0,Bukittinggi
Bawang Merah,2021-03-24,30500.0,Bukittinggi
Bawang Merah,2021-03-25,31000.0,Bukittinggi
Bawang Merah,2021-03-26,30500.0,Bukittinggi
Bawang Merah,2021-03-29,30000.0,Bukittinggi
Bawang Merah,2021-03-30,30000.0,Bukittinggi
Bawang Merah,2021-03-31,30000.0,Bukittinggi
Bawang Merah,2021-04-01,30000.0,Bukittinggi
Bawang Merah,2021-04-02,,Bukittinggi
Bawang Merah,2021-04-05,30000.0,Bukittinggi
Bawang Merah,2021-04-06,30000.0,Bukittinggi
Bawang Merah,2021-04-07,30000.0,Bukittinggi
Bawang Merah,2021-04-08,30000.0,Bukittinggi
Bawang Merah,2021-04-09,30000.0,Bukittinggi
Bawang Merah,2021-04-12,30000.0,Bukittinggi
Bawang Merah,2021-04-13,30000.0,Bukittinggi
Bawang Merah,2021-04-14,30000.0,Bukittinggi
Bawang Merah,2021-04-15,30000.0,Bukittinggi
Bawang Merah,2021-04-16,30000.0,Bukittinggi
Bawang Merah,2021-04-19,34250.0,Bukittinggi
Bawang Merah,2021-04-20,34250.0,Bukittinggi
Bawang Merah,2021-04-21,32500.0,Bukittinggi
Bawang Merah,2021-04-22,33750.0,Bukittinggi
Bawang Merah,2021-04-23,33750.0,Bukittinggi
Bawang Merah,2021-04-26,33750.0,Bukittinggi
Bawang Merah,2021-04-27,33750.0,Bukittinggi
Bawang Merah,2021-04-28,33750.0,Bukittinggi
Bawang Merah,2021-04-29,33750.0,Bukittinggi
Bawang Merah,2021-04-30,33750.0,Bukittinggi
Bawang Merah,2021-05-03,33750.0,Bukittinggi
Bawang Merah,2021-05-04,32500.0,Bukittinggi
Bawang Merah,2021-05-05,32500.0,Bukittinggi
Bawang Merah,2021-05-06,32500.0,Bukittinggi
Bawang Merah,2021-05-07,33000.0,Bukittinggi
Bawang Merah,2021-05-10,33500.0,Bukittinggi
Bawang Merah,2021-05-11,32750.0,Bukittinggi
Bawang Merah,2021-05-12,,Bukittinggi
Bawang Merah,2021-05-13,,Bukittinggi
Bawang Merah,2021-05-14,,Bukittinggi
Bawang Merah,2021-05-17,32250.0,Bukittinggi
Bawang Merah,2021-05-18,32250.0,Bukittinggi
Bawang Merah,2021-05-19,32250.0,Bukittinggi
Bawang Merah,2021-05-20,32250.0,Bukittinggi
Bawang Merah,2021-05-21,32250.0,Bukittinggi
Bawang Merah,2021-05-24,32250.0,Bukittinggi
Bawang Merah,2021-05-25,32250.0,Bukittinggi
Bawang Merah,2021-05-26,,Bukittinggi
Bawang Merah,2021-05-27,32250.0,Bukittinggi
Bawang Merah,2021-05-28,31500.0,Bukittinggi
Bawang Merah,2021-05-31,30500.0,Bukittinggi
Bawang Merah,2021-06-01,,Bukittinggi
Bawang Merah,2021-06-02,30500.0,Bukittinggi
Bawang Merah,2021-06-03,28500.0,Bukittinggi
Bawang Merah,2021-06-04,28500.0,Bukittinggi
Bawang Merah,2021-06-07,26250.0,Bukittinggi
Bawang Merah,2021-06-08,26250.0,Bukittinggi
Bawang Merah,2021-06-09,27000.0,Bukittinggi
Bawang Merah,2021-06-10,27000.0,Bukittinggi
Bawang Merah,2021-06-11,27000.0,Bukittinggi
Bawang Merah,2021-06-14,27000.0,Bukittinggi
Bawang Merah,2021-06-15,27000.0,Bukittinggi
Bawang Merah,2021-06-16,27000.0,Bukittinggi
Bawang Merah,2021-06-17,27000.0,Bukittinggi
Bawang Merah,2021-06-18,27000.0,Bukittinggi
Bawang Merah,2021-06-21,27000.0,Bukittinggi
Bawang Merah,2021-06-22,26250.0,Bukittinggi
Bawang Merah,2021-06-23,26250.0,Bukittinggi
Bawang Merah,2021-06-24,26250.0,Bukittinggi
Bawang Merah,2021-06-25,26250.0,Bukittinggi
Bawang Merah,2021-06-28,26250.0,Bukittinggi
Bawang Merah,2021-06-29,26250.0,Bukittinggi
Bawang Merah,2021-06-30,27000.0,Bukittinggi
Bawang Merah,2021-07-01,26250.0,Bukittinggi
Bawang Merah,2021-07-02,27250.0,Bukittinggi
Bawang Merah,2021-07-05,28000.0,Bukittinggi
Bawang Merah,2021-07-06,28000.0,Bukittinggi
Bawang Merah,2021-07-07,28000.0,Bukittinggi
Bawang Merah,2021-07-08,28000.0,Bukittinggi
Bawang Merah,2021-07-09,28000.0,Bukittinggi
Bawang Merah,2021-07-12,26500.0,Bukittinggi
Bawang Merah,2021-07-13,26500.0,Bukittinggi
Bawang Merah,2021-07-14,26500.0,Bukittinggi
Bawang Merah,2021-07-15,27750.0,Bukittinggi
Bawang Merah,2021-07-16,29500.0,Bukittinggi
Bawang Merah,2021-07-19,30000.0,Bukittinggi
Bawang Merah,2021-07-20,,Bukittinggi
Bawang Merah,2021-07-21,29500.0,Bukittinggi
Bawang Merah,2021-07-22,29500.0,Bukittinggi
Bawang Merah,2021-07-23,29500.0,Bukittinggi
Bawang Merah,2021-07-26,29500.0,Bukittinggi
Bawang Merah,2021-07-27,30000.0,Bukittinggi
Bawang Merah,2021-07-28,30000.0,Bukittinggi
Bawang Merah,2021-07-29,30000.0,Bukittinggi
Bawang Merah,2021-07-30,30000.0,Bukittinggi
Bawang Merah,2021-08-02,30750.0,Bukittinggi
Bawang Merah,2021-08-03,30750.0,Bukittinggi
Bawang Merah,2021-08-04,31750.0,Bukittinggi
Bawang Merah,2021-08-05,31750.0,Bukittinggi
Bawang Merah,2021-08-06,31750.0,Bukittinggi
Bawang Merah,2021-08-09,31750.0,Bukittinggi
Bawang Merah,2021-08-10,31750.0,Bukittinggi
Bawang Merah,2021-08-11,,Bukittinggi
Bawang Merah,2021-08-12,32500.0,Bukittinggi
Bawang Merah,2021-08-13,31250.0,Bukittinggi
Bawang Merah,2021-08-16,31750.0,Bukittinggi
Bawang Merah,2021-08-17,,Bukittinggi
Bawang Merah,2021-08-18,31750.0,Bukittinggi
Bawang Merah,2021-08-19,31750.0,Bukittinggi
Bawang Merah,2021-08-20,31750.0,Bukittinggi
Bawang Merah,2021-08-23,32250.0,Bukittinggi
Bawang Merah,2021-08-24,32250.0,Bukittinggi
Bawang Merah,2021-08-25,30500.0,Bukittinggi
Bawang Merah,2021-08-26,30500.0,Bukittinggi
Bawang Merah,2021-08-27,30500.0,Bukittinggi
Bawang Merah,2021-08-30,30500.0,Bukittinggi
Bawang Merah,2021-08-31,30500.0,Bukittinggi
Bawang Merah,2021-09-01,30500.0,Bukittinggi
Bawang Merah,2021-09-02,30500.0,Bukittinggi
Bawang Merah,2021-09-03,30500.0,Bukittinggi
Bawang Merah,2021-09-06,29750.0,Bukittinggi
Bawang Merah,2021-09-07,29750.0,Bukittinggi
Bawang Merah,2021-09-08,29750.0,Bukittinggi
Bawang Merah,2021-09-09,29750.0,Bukittinggi
Bawang Merah,2021-09-10,29750.0,Bukittinggi
Bawang Merah,2021-09-13,26750.0,Bukittinggi
Bawang Merah,2021-09-14,26750.0,Bukittinggi
Bawang Merah,2021-09-15,26250.0,Bukittinggi
Bawang Merah,2021-09-16,26750.0,Bukittinggi
Bawang Merah,2021-09-17,26750.0,Bukittinggi
Bawang Merah,2021-09-20,25750.0,Bukittinggi
Bawang Merah,2021-09-21,25750.0,Bukittinggi
Bawang Merah,2021-09-22,25750.0,Bukittinggi
Bawang Merah,2021-09-23,25750.0,Bukittinggi
Bawang Merah,2021-09-24,25750.0,Bukittinggi
Bawang Merah,2021-09-27,25250.0,Bukittinggi
Bawang Merah,2021-09-28,25250.0,Bukittinggi
Bawang Merah,2021-09-29,24500.0,Bukittinggi
Bawang Merah,2021-09-30,24500.0,Bukittinggi
Bawang Merah,2021-10-01,25250.0,Bukittinggi
Bawang Merah,2021-10-04,24500.0,Bukittinggi
Bawang Merah,2021-10-05,24500.0,Bukittinggi
Bawang Merah,2021-10-06,24500.0,Bukittinggi
Bawang Merah,2021-10-07,24500.0,Bukittinggi
Bawang Merah,2021-10-08,24500.0,Bukittinggi
Bawang Merah,2021-10-11,24500.0,Bukittinggi
Bawang Merah,2021-10-12,24500.0,Bukittinggi
Bawang Merah,2021-10-13,24500.0,Bukittinggi
Bawang Merah,2021-10-14,24500.0,Bukittinggi
Bawang Merah,2021-10-15,24500.0,Bukittinggi
Bawang Merah,2021-10-18,24500.0,Bukittinggi
Bawang Merah,2021-10-19,24500.0,Bukittinggi
Bawang Merah,2021-10-20,,Bukittinggi
Bawang Merah,2021-10-21,24500.0,Bukittinggi
Bawang Merah,2021-10-22,24500.0,Bukittinggi
Bawang Merah,2021-10-25,23250.0,Bukittinggi
Bawang Merah,2021-10-26,23250.0,Bukittinggi
Bawang Merah,2021-10-27,23250.0,Bukittinggi
Bawang Merah,2021-10-28,23250.0,Bukittinggi
Bawang Merah,2021-10-29,23250.0,Bukittinggi
Bawang Merah,2021-11-01,23250.0,Bukittinggi
Bawang Merah,2021-11-02,23250.0,Bukittinggi
Bawang Merah,2021-11-03,23000.0,Bukittinggi
Bawang Merah,2021-11-04,23000.0,Bukittinggi
Bawang Merah,2021-11-05,23000.0,Bukittinggi
Bawang Merah,2021-11-08,23000.0,Bukittinggi
Bawang Merah,2021-11-09,23000.0,Bukittinggi
Bawang Merah,2021-11-10,23000.0,Bukittinggi
Bawang Merah,2021-11-11,23000.0,Bukittinggi
Bawang Merah,2021-11-12,23000.0,Bukittinggi
Bawang Merah,2021-11-15,23000.0,Bukittinggi
Bawang Merah,2021-11-16,23000.0,Bukittinggi
Bawang Merah,2021-11-17,23000.0,Bukittinggi
Bawang Merah,2021-11-18,23000.0,Bukittinggi
Bawang Merah,2021-11-19,23000.0,Bukittinggi
Bawang Merah,2021-11-22,23000.0,Bukittinggi
Bawang Merah,2021-11-23,23000.0,Bukittinggi
Bawang Merah,2021-11-24,22000.0,Bukittinggi
Bawang Merah,2021-11-25,21000.0,Bukittinggi
Bawang Merah,2021-11-26,21000.0,Bukittinggi
Bawang Merah,2021-11-29,21000.0,Bukittinggi
Bawang Merah,2021-11-30,21000.0,Bukittinggi
Bawang Merah,2021-12-01,20000.0,Bukittinggi
Bawang Merah,2021-12-02,20000.0,Bukittinggi
